"time","age_range","Incidence","Deaths","IncNoise","DeathNoise"
1,"0-150",0.00102457510127976,0.000109213093765727,0,0
2,"0-150",0.000981515595598058,0.000104623243610371,0,0
3,"0-150",0.00175126624645222,0.000186673715386677,0,0
4,"0-150",0.00173484362904236,0.000184923199845926,0,0
5,"0-150",0.00194236603931213,0.00020704379543113,0,0
6,"0-150",0.0022407734726981,0.000238852169092661,0,0
7,"0-150",0.00259978938314105,0.000277121044145818,0,0
8,"0-150",0.0030229922829575,0.000322231879993011,0,0
9,"0-150",0.00351103744186918,0.000374254533687284,0,0
10,"0-150",0.00407853524416316,0.000434746400056034,0,0
11,"0-150",0.00473811481348436,0.000505053689081513,0,0
12,"0-150",0.00550426753426987,0.000586721125256528,0,0
13,"0-150",0.00639383191381739,0.000681543634122743,0,0
14,"0-150",0.00742658814335627,0.00079162972324701,0,0
15,"0-150",0.00862587550630544,0.00091946730022628,0,0
16,"0-150",0.0100190883631764,0.00106797654990156,0,0
17,"0-150",0.011638044725799,0.00124054923323164,0,0
18,"0-150",0.013519366789328,0.00144108926456212,0,0
19,"0-150",0.0157050961854746,0.00167407831385631,0,0
20,"0-150",0.0182437224518509,0.00194468546232472,0,0
21,"0-150",0.0211916409922605,0.00225892264898004,0,0
22,"0-150",0.0246148695119276,0.00262382768240627,0,0
23,"0-150",0.0285907662658546,0.00304764746363366,0,0
24,"0-150",0.033209588879176,0.00354000423852837,0,0
25,"0-150",0.0385759782869236,0.00411205389966075,0,0
26,"0-150",0.0448107095476858,0.00477667277749952,0,0
27,"0-150",0.0520531493339092,0.00554871981674189,0,0
28,"0-150",0.06046470839438,0.00644540488985746,0,0
29,"0-150",0.0702332423086263,0.00748675830078109,0,0
30,"0-150",0.0814247582004351,0.00867982051433528,1,0
31,"0-150",0.094876219406174,0.0101138315857801,0,0
32,"0-150",0.109782020787425,0.0117029070297718,0,0
33,"0-150",0.127569795941422,0.0135992700681136,0,0
34,"0-150",0.148424002362566,0.0158226100830408,1,0
35,"0-150",0.171794299810744,0.0183142553436706,0,0
36,"0-150",0.200133015176302,0.0213357436255465,0,0
37,"0-150",0.232005085832632,0.0247340702147014,1,0
38,"0-150",0.27032447901569,0.0288200734564747,0,0
39,"0-150",0.312783653558361,0.0333476848558391,0,0
40,"0-150",0.36343621303523,0.0387493716980511,0,0
41,"0-150",0.421999249407007,0.0449950997411148,1,0
42,"0-150",0.489957249448778,0.0522434144339868,0,0
43,"0-150",0.56886824213505,0.0606607918942471,2,0
44,"0-150",0.66051323928508,0.0704376149530631,0,0
45,"0-150",0.768330409682336,0.0819414229157057,0,0
46,"0-150",0.889117391733788,0.094830576560303,0,0
47,"0-150",1.03542004927337,0.110446006412939,3,0
48,"0-150",1.1998942845778,0.128003904816331,0,0
49,"0-150",1.39750083004342,0.14910508407948,1,0
50,"0-150",1.61635938591626,0.172480511668051,1,1
51,"0-150",1.87718982341913,0.200348897321617,0,0
52,"0-150",2.18232354753224,0.232964593850226,3,0
53,"0-150",2.52369453025187,0.2694657770531,3,0
54,"0-150",2.93623480618055,0.313604654323482,6,0
55,"0-150",3.4047987499545,0.363764367620859,5,1
56,"0-150",3.94977291360914,0.422144922273986,4,1
57,"0-150",4.57386642491988,0.489051957630368,4,0
58,"0-150",5.30341179165335,0.567339816739221,7,1
59,"0-150",6.14507406063161,0.65775599452358,4,1
60,"0-150",7.11859012762458,0.762467343458716,7,0
61,"0-150",8.24400683969042,0.88369253646066,9,2
62,"0-150",9.54252983527437,1.02380013322854,11,0
63,"0-150",11.0436303490268,1.18609468731227,7,2
64,"0-150",12.7566039642194,1.37169157687428,15,5
65,"0-150",14.7479608334114,1.58804341990345,15,1
66,"0-150",17.0144657957743,1.83501638745393,14,1
67,"0-150",19.6225759131713,2.12024761104868,17,2
68,"0-150",22.6050628595127,2.44775715857917,30,2
69,"0-150",26.0093419552602,2.82336061237996,21,2
70,"0-150",29.880135125057,3.25276403976098,30,5
71,"0-150",34.2710701330664,3.74306904554668,35,6
72,"0-150",39.2258554028406,4.30036165094127,43,2
73,"0-150",44.8017066481566,4.93297777303508,33,6
74,"0-150",51.0487085318177,5.64886445668699,43,9
75,"0-150",57.999823569032,6.45463622550067,61,7
76,"0-150",65.678990659218,7.35674547449996,60,7
77,"0-150",74.104194419808,8.36175064329299,68,8
78,"0-150",83.2703172277146,9.47493661814422,87,13
79,"0-150",93.1336858832282,10.6979804116423,99,16
80,"0-150",103.628032383562,12.030954257531,85,7
81,"0-150",114.641527510587,13.4697390612485,120,10
82,"0-150",126.018123800635,15.0055525659083,136,14
83,"0-150",137.558845677573,16.6245273629074,133,22
84,"0-150",149.015676445603,18.3064868799886,157,26
85,"0-150",160.101316869826,20.0250183884888,156,26
86,"0-150",170.491385140827,21.746487576268,171,24
87,"0-150",179.85428193117,23.4320309462474,166,15
88,"0-150",187.862376984231,25.0381221304697,197,22
89,"0-150",194.214036046116,26.5182598262247,199,34
90,"0-150",198.656713467511,27.8250540228043,194,27
91,"0-150",201.012780737953,28.9143672108463,182,31
92,"0-150",201.195452512105,29.7476634601004,193,34
93,"0-150",199.203566394258,30.2945264221265,172,38
94,"0-150",195.139730773201,30.5352917858366,209,29
95,"0-150",189.192056395652,30.4631742748179,171,34
96,"0-150",181.598139982649,30.0829737394914,177,31
97,"0-150",172.657695093779,29.4116425556356,175,24
98,"0-150",162.69515561638,28.4777719725197,172,33
99,"0-150",152.03495088617,27.3178571364394,152,25
100,"0-150",140.979328663338,25.9728846065822,133,20
101,"0-150",129.800319712672,24.4864298589088,129,23
102,"0-150",118.738086378128,22.9033730513292,133,22
103,"0-150",107.992016768708,21.2668929255753,110,21
104,"0-150",97.7059944830028,19.6137949774561,88,26
105,"0-150",87.9837219217849,17.9756442483224,94,19
106,"0-150",78.9039070649294,16.3823708909391,77,22
107,"0-150",70.4823843020669,14.8517823277645,75,10
108,"0-150",62.7694498367098,13.4021534076793,61,9
109,"0-150",55.7334527308484,12.042772912374,36,13
110,"0-150",49.3616433961597,10.7807780531903,56,11
111,"0-150",43.6198626177486,9.61837051766529,32,12
112,"0-150",38.4685650108119,8.55509222396383,28,7
113,"0-150",33.8669758555921,7.58897909308651,39,3
114,"0-150",29.7738706483042,6.71664078444087,27,5
115,"0-150",26.14236767848,5.93240168375489,21,8
116,"0-150",22.9247053107773,5.22951233593,17,8
117,"0-150",20.0874464083844,4.60335961809666,20,4
118,"0-150",17.5703064914712,4.04319451467225,13,8
119,"0-150",15.3722336387307,3.54988612323845,14,2
120,"0-150",13.4357444744504,3.11239975082422,17,1
121,"0-150",11.7363815783067,2.7261932720167,8,5
122,"0-150",10.2485932604535,2.38625454009225,12,4
123,"0-150",8.94325486694103,2.08670926111418,3,7
124,"0-150",7.80108765655596,1.82355940093207,9,1
125,"0-150",6.80326476439341,1.59286215070192,2,2
126,"0-150",5.93145118308436,1.39067740505608,4,7
127,"0-150",5.16971174725156,1.21355737919757,8,2
128,"0-150",4.50471601200042,1.05858194938274,6,1
129,"0-150",3.92454852911284,0.923106142984992,6,0
130,"0-150",3.4185584808899,0.804744257609097,4,0
131,"0-150",2.97723366121661,0.701353332255988,3,0
132,"0-150",2.59245519245721,0.611091295357469,1,0
133,"0-150",2.25726463547238,0.532367827309893,5,0
