"parameter","fixed_value","likelihood_value","optim_beta","optim_gamma"
"beta",0.91,21349.0421799978,0.8964921875,0.534265625
"beta",0.89,21350.1376768905,0.93045288459735,0.516489590941184
"beta",0.87,21348.7926749297,0.892834965239606,0.498680141196937
"beta",0.85,21344.7578253943,0.890919489835054,0.481149317935366
"beta",0.83,21337.6601792782,0.87075524156644,0.463492463033043
"beta",0.81,21327.1249592033,0.866516062892154,0.445644079874879
"beta",0.79,21312.7157069104,0.821159362725143,0.428042972347382
"beta",0.77,21293.9347564755,0.827660262554435,0.410234093174329
"beta",0.75,21270.1088130197,0.777536653911059,0.39267712758285
"beta",0.73,21240.5886541709,0.741107123053969,0.374893183378443
"beta",0.71,21204.6941951969,0.726349947335167,0.357038920359129
"beta",0.69,21161.4427775149,0.689819652132276,0.339305767348017
"beta",0.67,21109.8650271098,0.707267239036793,0.321656084842289
"beta",0.65,21048.5050463135,0.680813786639226,0.303836265733745
"beta",0.63,20976.0758789421,0.677350036382723,0.286197292207376
"beta",0.61,20890.7554771153,0.694680672079234,0.268469771723922
"beta",0.59,20790.4430993364,0.747794213257741,0.250834827029826
"beta",0.57,20672.6021572842,0.738241397777098,0.233134961557332
"beta",0.55,20534.2173302885,0.698557655892347,0.215391980209085
"beta",0.53,20371.4911292316,0.672429962317467,0.19779160176961
"beta",0.51,20179.6301278974,0.7240491018318,0.180327543129525
"beta",0.49,19953.2914476385,0.732816883924295,0.162791978944536
"beta",0.47,19685.0782520777,0.695746654835155,0.145330326632277
"beta",0.45,19366.4051941089,0.660857406079506,0.128140492289182
"beta",0.43,18983.959492656,0.679859980830582,0.110980747295202
"beta",0.41,18524.3458148235,0.688291838014711,0.0941170329269433
"beta",0.91,21349.0421799978,0.8964921875,0.534265625
"beta",0.93,21345.8947311454,0.882715732115041,0.551969634925015
"beta",0.95,21340.7022900344,0.892631063935666,0.569664087703328
"beta",0.97,21333.9662419466,0.927430421678537,0.587328363798342
"beta",0.99,21325.6392331646,0.912116059853281,0.605093405605198
"beta",1.01,21315.9190382876,0.915383347233895,0.622596935897308
"beta",1.03,21304.8836411476,0.894086098701169,0.64039677431954
