"parameter","fixed_value","likelihood_value","optim_beta","optim_gamma","optim_mu"
"beta",0.584348279794654,125855220.72339,0.584348279794654,0.110069285808224,0.0510481779379868
"beta",0.564348279794654,125852600.851984,0.58908167502897,0.101922970604128,0.0466465558625584
"beta",0.544348279794654,125843607.078053,0.614733371613486,0.0937528301039564,0.0426024958255512
"beta",0.524348279794654,125825380.46574,0.639101185458376,0.0852763274085652,0.0387430107162793
"beta",0.504348279794654,125794233.780521,0.655275733055343,0.0766889924069812,0.0349014916184394
"beta",0.484348279794654,125744935.561783,0.668417384187403,0.0686026504647451,0.0307224563555649
"beta",0.464348279794654,125670404.608374,0.684979453808625,0.0601028169941976,0.0270767921902919
"beta",0.444348279794654,125560985.208225,0.712792788756901,0.0516837280480064,0.0234694291790153
"beta",0.424348279794654,125404040.158393,0.782139713092805,0.0433227678235667,0.0198114273832644
"beta",0.404348279794654,125183331.191311,0.829153949081024,0.0348469233522021,0.0165029042224599
"beta",0.384348279794654,124879490.512348,0.846035266257535,0.0263012791296472,0.0135238255388061
"beta",0.364348279794654,124471779.947676,0.909573207832125,0.0179397483006596,0.0105883785420198
"beta",0.344348279794654,123939343.87716,0.98758506909849,0.00913361141387765,0.00805020371247908
"beta",0.584348279794654,125855220.72339,0.584348279794654,0.110069285808224,0.0510481779379868
"beta",0.604348279794654,125853223.205066,0.615980475063601,0.118097230163858,0.0554375171384196
"beta",0.624348279794654,125848111.092129,0.617836858548194,0.126467129134317,0.0596276435525575
"beta",0.644348279794654,125840877.440483,0.652891101816792,0.134409486373642,0.0639931614847258
"beta",0.664348279794654,125832210.5749,0.658613151096544,0.142551542566268,0.0683328490641026
"beta",0.684348279794654,125822553.023877,0.694976054327788,0.150449593298829,0.0729577878109599
"beta",0.704348279794654,125812369.595993,0.701091640761526,0.158360005287938,0.0773427347228933
"beta",0.724348279794654,125801776.419514,0.706917717789036,0.166618817939268,0.0817222416049945
"beta",0.744348279794654,125791121.64225,0.719722608162354,0.174769407905813,0.0859045924490572
"beta",0.764348279794654,125780374.068651,0.767118756653037,0.182196334336401,0.0907020248429772
"beta",0.784348279794654,125769650.654976,0.765546697928971,0.189699546909901,0.0956917724718249
"beta",0.804348279794654,125759029.714601,0.821103655700374,0.197722019153366,0.10013239385383
"beta",0.824348279794654,125748531.637371,0.823701203643408,0.205420076658607,0.104639550095019
"beta",0.844348279794654,125739848.031165,0.892521639416575,0.212272160697846,0.10938626520983
"beta",0.864348279794654,125729737.911417,0.923689639032244,0.220072679519341,0.113950321907008
"beta",0.884348279794654,125717926.381151,1.00826525432612,0.228899608829112,0.118292898533308
"beta",0.904348279794654,125708111.263158,1.06638494217688,0.235958073037111,0.12358618890157
"beta",0.924348279794654,125698524.389154,1.13556919377735,0.243507516729721,0.128330141130021
"beta",0.944348279794654,125689051.089745,1.22292223384979,0.251798102761236,0.132491805236372
"beta",0.964348279794654,125676404.766036,1.23988249196691,0.259200287773135,0.138752747043106
"beta",0.984348279794654,125663525.300346,1.22742945018538,0.266917913804229,0.145033335960247
"beta",1.00434827979465,125654393.205685,1.26651460747813,0.274124120518297,0.150051037724671
"beta",1.02434827979465,125645399.332778,1.33169327702452,0.281815015498639,0.154839222040534
"beta",1.04434827979465,125632477.394249,1.32188171597855,0.29019057727229,0.159968049606616
"beta",1.06434827979465,125623768.435566,1.32510501376894,0.298348775934445,0.164297338552135
"beta",1.08434827979465,125615127.197148,1.3887831341137,0.3057772236908,0.169120078851754
"gamma",0.110069285808224,125855220.72339,0.584348279794654,0.110069285808224,0.0510481779379868
"gamma",0.0900692858082243,125838647.778204,0.538908100472663,0.175177747777533,0.042622548156309
"gamma",0.0700692858082243,125764309.671585,0.494285169802318,0.229182851065373,0.0345510544091518
"gamma",0.0500692858082243,125567752.692523,0.450693691302006,0.249330066706535,0.0278782652005295
"gamma",0.0300692858082243,125105346.478653,0.405578661822441,0.319001582087457,0.0202025877850526
"gamma",0.0100692858082243,124141530.517531,0.356779520158594,0.378450349735407,0.011127852669982
"gamma",0.110069285808224,125855220.72339,0.584348279794654,0.110069285808224,0.0510481779379868
"gamma",0.130069285808224,125845651.269582,0.629415376255754,0.10153381450051,0.0592271602404299
"gamma",0.150069285808224,125824773.270604,0.677653099991074,0.111256847858396,0.069288499108963
"gamma",0.170069285808224,125799388.06487,0.724727532347148,0.113390039515252,0.0785684079649737
"gamma",0.190069285808224,125772674.629604,0.773200938809719,0.136941998490478,0.0884909287949412
"gamma",0.210069285808224,125746039.833907,0.823800746666395,0.20692554970818,0.099866821503442
"gamma",0.230069285808224,125721121.305869,0.871540276702994,0.258500335210439,0.108523855581534
"gamma",0.250069285808224,125694991.663933,0.924520679603501,0.304570160533699,0.12201163407019
"gamma",0.270069285808224,125669470.972846,0.962621785483234,0.281629434802405,0.12572562091345
"gamma",0.290069285808224,125642159.569124,1.01911320108169,0.292980154805664,0.143316223939281
"gamma",0.310069285808224,125616038.919811,1.06781591966216,0.347425446318959,0.154877799066208
"gamma",0.330069285808224,125591394.694723,1.10287265878463,0.373156927099108,0.156403041963408
"gamma",0.350069285808224,125565862.043837,1.14974550424823,0.397133961590322,0.167027209335921
"gamma",0.370069285808224,125549109.231873,1.24534929054424,0.38922023395239,0.204575733038462
"gamma",0.390069285808224,125536424.028466,1.27968277403263,0.476062696074208,0.203933261240653
"gamma",0.410069285808224,125521053.765403,1.33375691346283,0.497227989010206,0.216154438960753
"gamma",0.430069285808224,125504812.046624,1.38683415853163,0.533589579810677,0.228015415166465
"gamma",0.450069285808224,125489211.300076,1.44099337237362,0.549304843343731,0.240721825802383
"gamma",0.470069285808224,125474481.29911,1.49524366751789,0.573690194291441,0.253393975620768
"gamma",0.490069285808224,125458733.676943,1.54719545469759,0.532178890437127,0.264972019627944
"gamma",0.510069285808224,125443601.120913,1.6008165295333,0.480433120887821,0.27804614579943
"gamma",0.530069285808224,125430625.108983,1.65408395618888,0.289160070245445,0.290036493483309
"gamma",0.550069285808224,125416591.612542,1.70741287878956,0.418151165424837,0.302508432607701
"gamma",0.570069285808224,125403062.128584,1.76276425541156,0.177310281106612,0.316349267296236
"gamma",0.590069285808224,125389959.420245,1.81850086165561,0.227111901655253,0.330417950011369
"gamma",0.610069285808224,125375841.128696,1.86809838991745,0.500541561604855,0.341460606802777
"mu",0.0510481779379868,125855220.72339,0.584348279794654,0.110069285808224,0.0510481779379868
"mu",0.0460481779379868,125852249.482152,0.566013259890506,0.103492180489347,0.0373598965786525
"mu",0.0410481779379868,125841556.353372,0.545936222151236,0.0959584547910302,0.0574237553826034
"mu",0.0360481779379868,125819102.876265,0.527566723644735,0.0895295643574091,0.0949379737520034
"mu",0.0310481779379868,125778537.040505,0.507221390696923,0.0819085967738116,0.183021186106063
"mu",0.0260481779379868,125709324.815284,0.487612938907825,0.0746176770415102,0.269641532836874
"mu",0.0210481779379868,125593151.202823,0.466291705103401,0.066531945303606,0.29192231191568
"mu",0.0160481779379868,125393792.555948,0.444024060969038,0.0577081814068096,0.310270773329724
"mu",0.0110481779379868,125028270.511275,0.419597057865359,0.0477407016790701,0.299141757420297
"mu",0.0510481779379868,125855220.72339,0.584348279794654,0.110069285808224,0.0510481779379868
"mu",0.0560481779379868,125852958.977522,0.60366687297714,0.117137243961167,0.0450927004613201
"mu",0.0610481779379868,125847273.672467,0.623183963170669,0.124345810873535,0.0621024436954598
"mu",0.0660481779379868,125839348.120232,0.641668415532698,0.130778129841878,0.0311969347206107
"mu",0.0710481779379868,125830013.641344,0.662131528756571,0.138529484760726,0.0239380971580488
"mu",0.0760481779379868,125819798.739451,0.6812493270583,0.145419345672345,0.0750239886046215
"mu",0.0810481779379868,125809046.468029,0.701945879799533,0.153426187163094,0.115743959387036
"mu",0.0860481779379868,125798151.742167,0.719730405689132,0.159427612447546,0.0824208168674021
"mu",0.0910481779379868,125787114.499023,0.737540535713572,0.16549358881828,0.052650878214229
"mu",0.0960481779379868,125776142.559622,0.756879373739528,0.172478828849222,0.0405064352507217
"mu",0.101048177937987,125765293.399139,0.776184160478834,0.179457371349343,0.00698542659302645
"mu",0.106048177937987,125754619.688476,0.796146374639384,0.18681874349731,0.0268774509821346
"mu",0.111048177937987,125743838.471686,0.810074253696138,0.190303780825327,0.0564734220282552
"mu",0.116048177937987,125734528.171802,0.839967477472338,0.203079395440108,0.0948334647151514
"mu",0.121048177937987,125724608.720817,0.852784179295867,0.205895304440816,0.0991065736950394
"mu",0.126048177937987,125714821.570797,0.870295211265205,0.211924481863611,0.119107505102626
"mu",0.131048177937987,125704385.207639,0.89068855835918,0.22034051249676,0.063400455652837
"mu",0.136048177937987,125694857.320717,0.906591051869345,0.225412524876789,0.111491875996281
"mu",0.141048177937987,125685844.078092,0.926636106420154,0.232371746145915,0.0417832476382855
"mu",0.146048177937987,125676920.602423,0.944644015031564,0.238705761266679,0.0790592110724376
"mu",0.151048177937987,125668208.1779,0.962767433193263,0.244738469976973,0.167843245329904
