"parameter","fixed_value","likelihood_value","optim_beta","optim_kappa","optim_gamma","optim_mu"
"beta",0.584348279794654,125855220.72339,0.584348279794654,0.266722791227639,0.110069285808224,0.0510481779379868
"beta",0.564348279794654,125855076.204208,0.624979680805578,0.281022223580864,0.106787482419056,0.0494839740078923
"beta",0.544348279794654,125854556.206888,0.604517392882267,0.295821672990008,0.102700832502055,0.0479663929381185
"beta",0.524348279794654,125853576.421698,0.659501393627892,0.313659298105402,0.0994651770163047,0.0458728152191746
"beta",0.504348279794654,125851277.558929,0.715386755533391,0.333959291813336,0.0963880203890458,0.0445948676377955
"beta",0.484348279794654,125847193.508551,0.756890713990674,0.360780249366891,0.0936961184524657,0.0437119122474897
"beta",0.464348279794654,125842704.174801,0.754791139285843,0.385756937061818,0.0893320682908151,0.0414671234473535
"beta",0.444348279794654,125835956.007185,0.777805499350116,0.42049721093425,0.0853513689168983,0.0399718614622967
"beta",0.424348279794654,125826491.092897,0.775847644705867,0.467629153000163,0.0822541769615887,0.0384102839946647
"beta",0.404348279794654,125811736.140247,0.782078511715619,0.515749156715478,0.0782022363951791,0.0365792240613281
"beta",0.384348279794654,125793764.684477,0.78204904646589,0.583159055189782,0.0741883326453872,0.0345523433629831
"beta",0.364348279794654,125773686.946682,0.788172495930185,0.707209883812924,0.0707727757558502,0.0331081806283638
"beta",0.344348279794654,125744252.471657,0.76835331489993,0.856963099774568,0.0662008764346074,0.0309690929833813
"beta",0.584348279794654,125855220.72339,0.584348279794654,0.266722791227639,0.110069285808224,0.0510481779379868
"beta",0.604348279794654,125855109.098921,0.652552598637178,0.255258307359425,0.113885389586201,0.0526917211780554
"beta",0.624348279794654,125854992.890959,0.700853947297908,0.24386587998252,0.117373037354419,0.054097894825352
"beta",0.644348279794654,125854741.834703,0.717045911072507,0.234822750566088,0.121265484360662,0.0559296608213897
"beta",0.664348279794654,125853515.659395,0.782878141854559,0.231841568112506,0.126745222589968,0.0594916124876347
"beta",0.684348279794654,125854444.893942,0.897443268941358,0.218902608711948,0.128157616261605,0.059801764470901
"beta",0.704348279794654,125854276.159381,0.811679089793195,0.213604125279793,0.133231883437317,0.0614617213621256
"beta",0.724348279794654,125854160.398104,0.854459127001913,0.205126803974707,0.134865724440785,0.0625743786996878
"beta",0.744348279794654,125854418.223457,0.92606972272822,0.199383967491674,0.139057286880238,0.064592450077335
"beta",0.764348279794654,125854476.984017,0.980614955848944,0.194137653578002,0.142886731423151,0.0663509812902704
"beta",0.784348279794654,125854585.417386,1.01616964778056,0.188731561766332,0.146311808021851,0.0677615821882239
"beta",0.804348279794654,125854710.193841,1.00552504728469,0.185205676457776,0.150667155710027,0.0698803039219645
"beta",0.824348279794654,125854804.55443,0.953654896708178,0.180958541188024,0.154723765431718,0.0713046298259953
"beta",0.844348279794654,125854914.307079,0.893538917169267,0.177910521066734,0.158770993760698,0.0736768855663798
"beta",0.864348279794654,125854885.394395,1.03558840935403,0.172407535497392,0.161924050833069,0.0750322971833885
"beta",0.884348279794654,125854846.842607,1.0749623435094,0.170152185048828,0.16663108705214,0.0773187790825923
"beta",0.904348279794654,125854717.145008,1.07538411042163,0.166636121953475,0.170419212369474,0.0784168869273574
"beta",0.924348279794654,125854067.731126,1.38316953539772,0.162981721990732,0.173959317028121,0.0810137737819168
"beta",0.944348279794654,125853768.23588,1.50747047310374,0.16031024727691,0.177821577391661,0.0826288778627859
"beta",0.964348279794654,125853452.071003,1.60988464687918,0.15818211043941,0.182269368573322,0.0845231912391022
"beta",0.984348279794654,125853082.908709,1.60624881118224,0.155858252419519,0.186188380070762,0.0864150025877884
"beta",1.00434827979465,125852567.806837,1.63195032932608,0.154290042277464,0.191192441915985,0.0882671349478527
"beta",1.02434827979465,125852039.287579,1.72661098551835,0.15143401456713,0.193771218063126,0.0902902633002805
"beta",1.04434827979465,125851363.579208,1.72323754302823,0.150330357645662,0.198480698277625,0.0929776235278535
"beta",1.06434827979465,125850624.50763,1.82558434504196,0.148096828716536,0.202482157751029,0.093875775456371
"beta",1.08434827979465,125849939.586123,1.93410762659043,0.145505512351225,0.205700394464282,0.0951460075573624
"kappa",0.266722791227639,125855220.72339,0.584348279794654,0.266722791227639,0.110069285808224,0.0510481779379868
