"parameter","fixed_value","likelihood_value","optim_beta","optim_gamma"
"beta",0.584348279794654,16120.2135910309,0.577805390883013,0.110600706057793
"beta",0.564348279794654,16119.4361120964,0.54361688941925,0.0979742176328311
"beta",0.544348279794654,16118.2403247403,0.529622503827526,0.0853509848704072
"beta",0.524348279794654,16116.56757145,0.502831052950313,0.0727310736463919
"beta",0.504348279794654,16114.3409358968,0.509214650302221,0.0599638789425754
"beta",0.484348279794654,16111.5052270067,0.48367932579732,0.0473826966646006
"beta",0.464348279794654,16107.9380638646,0.459778765362413,0.0347239018097488
"beta",0.444348279794654,16103.536396107,0.448654021889586,0.0219960783826173
"beta",0.424348279794654,16098.158881662,0.438301626078102,0.00918325997184234
"beta",0.404348279794654,16078.3063133862,0.415782563269404,3.69196193940123e-08
"beta",0.384348279794654,15820.5621089054,0.415782563269404,3.69196193940123e-08
"beta",0.364348279794654,15294.6035491464,0.415782563269404,3.69196193940123e-08
"beta",0.344348279794654,14558.978767016,0.415782563269404,3.69196193940123e-08
"beta",0.584348279794654,16120.2135910309,0.577805390883013,0.110600706057793
"beta",0.604348279794654,16120.6199774617,0.615904714873824,0.12306753668594
"beta",0.624348279794654,16120.7145487839,0.625843586343234,0.135751376096653
"beta",0.644348279794654,16120.5181137724,0.614352056807923,0.148264236985104
"beta",0.664348279794654,16120.0649147592,0.64976724210633,0.160755153171827
"beta",0.684348279794654,16119.4021470633,0.634649800342308,0.173390025716211
"beta",0.704348279794654,16118.5333669235,0.640146953636148,0.185982220492628
"beta",0.724348279794654,16117.3546527363,0.625253336868644,0.198430024328736
"beta",0.744348279794654,16116.1862486379,0.613772645295755,0.210931084010422
"beta",0.764348279794654,16114.8773619645,0.649154429605525,0.223410219687002
"beta",0.784348279794654,16113.4500700268,0.639920946780551,0.235947866465463
"beta",0.804348279794654,16111.9081987516,0.662236532928324,0.248553593083822
"beta",0.824348279794654,16110.2462790359,0.647750108770517,0.260970528076228
"beta",0.844348279794654,16109.2524772751,0.62897708747556,0.27165421719357
"beta",0.864348279794654,16107.4201060185,0.635000703657205,0.284030281457793
"beta",0.884348279794654,16104.7937161033,0.667494880289663,0.298417016150027
"beta",0.904348279794654,16102.8354492777,0.652893429783327,0.310932545155458
"beta",0.924348279794654,16100.8010271871,0.642112409468145,0.323438797704873
"beta",0.944348279794654,16098.7735487357,0.644412517825769,0.335760951107011
"beta",0.964348279794654,16094.1526467505,0.676749910053867,0.354084170503105
"beta",0.984348279794654,16091.9597206578,0.661946005771439,0.366773231316615
"beta",1.00434827979465,16089.7429616573,0.647465936895188,0.37918471892483
"beta",1.02434827979465,16085.6262013004,0.680218608312348,0.394612618202411
"beta",1.04434827979465,16083.3413729709,0.6745616236475,0.406991504970046
"beta",1.06434827979465,16081.0371948842,0.659805588130211,0.419639535413436
"beta",1.08434827979465,16078.7267708708,0.653873242621851,0.432127425372802
"gamma",0.110069285808224,16120.1906526742,0.58366349665427,0.103107323880983
"gamma",0.0900692858082243,16118.7424339544,0.551965267935827,0.11502354944439
"gamma",0.0700692858082243,16116.157391185,0.520240382795398,0.120612338856127
"gamma",0.0500692858082243,16112.1758675015,0.488699719321016,0.132005049720876
"gamma",0.0300692858082243,16106.464791056,0.457294707298304,0.126578242763847
"gamma",0.0100692858082243,16098.589848559,0.425956219576651,0.119856061678679
"gamma",0.110069285808224,16120.1906526742,0.58366349665427,0.103107323880983
"gamma",0.130069285808224,16120.7118603766,0.615303526761957,0.0857816993908617
"gamma",0.150069285808224,16120.470457787,0.647163435632105,0.092835494856808
"gamma",0.170069285808224,16119.5983349497,0.679079210533883,0.103168621978473
"gamma",0.190069285808224,16118.1950995796,0.710616769817039,0.112765838238185
"gamma",0.210069285808224,16116.2800748453,0.742816592199374,0.141079475160583
"gamma",0.230069285808224,16114.1468124039,0.774698222304025,0.153393256071309
"gamma",0.250069285808224,16111.7134102156,0.806809851345908,0.150861798180892
"gamma",0.270069285808224,16109.4759577796,0.841781388510141,0.162427850621961
"gamma",0.290069285808224,16106.122158459,0.870799828953899,0.153590790146879
"gamma",0.310069285808224,16102.9856002153,0.902751257309215,0.128335854464247
"gamma",0.330069285808224,16099.7218303518,0.935013429546518,0.118311177530855
"gamma",0.350069285808224,16094.2041695456,0.95932846829538,0.113707368849958
"gamma",0.370069285808224,16091.3798376365,0.989518364364949,0.0996053475907627
"gamma",0.390069285808224,16086.4551124868,1.01697694786798,0.0733219266120936
"gamma",0.410069285808224,16082.8040739393,1.04885441547517,0.094590067467285
"gamma",0.430069285808224,16079.1113426136,1.08100975101918,0.0916530878542496
"gamma",0.450069285808224,16073.6523081728,1.10803499479466,0.132190953517469
"gamma",0.470069285808224,16068.6233085463,1.13517596685133,0.207027241551967
"gamma",0.490069285808224,16063.1901350685,1.16267907585899,0.322335439060666
"gamma",0.510069285808224,16058.4399505921,1.19174605275546,0.365935904405378
"gamma",0.530069285808224,16060.2987520676,1.23989124887646,0.330653905902149
"gamma",0.550069285808224,16058.4278240293,1.27728607077536,0.336467315074185
"gamma",0.570069285808224,16055.5423463134,1.31350014011294,0.320248845777985
"gamma",0.590069285808224,16051.7683177627,1.34556801462742,0.386308667277806
"gamma",0.610069285808224,16043.7105896601,1.37973282749882,0.369226260842107
