"parameter","fixed_value","likelihood_value","optim_beta","optim_kappa","optim_gamma","optim_mu"
"beta",0.91,405.218313165142,0.836996599007261,0.92055016134171,0.525787874939865,0.115136985762367
"beta",0.89,405.191614167135,0.75059775323568,0.952998860536454,0.516244942610577,0.110959797113207
"beta",0.87,405.167167547175,0.80365983167731,0.992652601952829,0.504096649989779,0.110023268532325
"beta",0.85,405.129518205097,0.793908641083295,1.0575497179248,0.49584680499529,0.106981517727744
"beta",0.83,405.156358117595,0.0806152478736878,1.05667909956166,0.480114478000983,0.104293317292295
"beta",0.81,405.159338525659,0.336242448855439,1.07505205783729,0.466606039034109,0.101407238299901
"beta",0.79,405.156945661691,0.347156063557502,1.13194692855007,0.455364014859326,0.0992283753148285
"beta",0.77,405.155277767843,0.388891779519624,1.16366069581971,0.442583734348558,0.096209092014089
"beta",0.75,405.144793107934,0.464004759271564,1.21407920000102,0.429320213240302,0.0944256068686222
"beta",0.73,405.176493329405,0.482295279080113,1.2652136804683,0.416666932297971,0.0918151410415379
"beta",0.71,405.156634296636,0.486792478717881,1.33342651434658,0.404436414003103,0.0894148819087245
"beta",0.69,405.163885558051,0.499691914595429,1.34357793429362,0.38881179029545,0.0868834477559718
"beta",0.67,405.134183463701,0.563359800329382,1.41611375203035,0.375847907732633,0.0845517417335747
"beta",0.65,405.130379623521,0.656451729144253,1.47874206127335,0.362351177151666,0.0819819914141865
"beta",0.63,405.125174844753,0.744137708633108,1.56075578743082,0.349035791407789,0.0794596683642615
"beta",0.61,405.120367536989,0.842838226424047,1.64892284941061,0.335278624659696,0.0771086735189981
"beta",0.91,405.218313165142,0.836996599007261,0.92055016134171,0.525787874939865,0.115136985762367
"beta",0.93,405.190147999204,1.02361257149228,0.943664755972795,0.54472575309461,0.117360633593604
"beta",0.95,405.177806509966,1.09714047356874,0.930238007441854,0.559574286139595,0.1188734346379
"beta",0.97,405.2179823205,1.18469839120349,0.872034291143747,0.566841413284486,0.120483020941052
"beta",0.99,405.194673849913,1.23126564662472,0.867678030912927,0.578240491087979,0.126140781836687
"beta",1.01,405.220797925852,1.22947179843438,0.808888569267709,0.58895723155285,0.122668729222004
"beta",1.03,405.21811602187,1.23621081824697,0.835246621927929,0.599761817653748,0.134813811610887
"beta",1.05,405.297006729704,0.994702344685534,0.744569417749919,0.600552363137472,0.133053882818827
"beta",1.07,405.26351081016,1.01104519863677,0.758107907035094,0.61885434858235,0.134965272909783
"beta",1.09,405.27774243588,0.959706582525459,0.732449956454493,0.627889453503268,0.137370247759213
"beta",1.11,405.2493144388,0.947221867464126,0.747546124483217,0.64631236045838,0.139693082506228
"beta",1.13,405.227136772607,0.969480868141774,0.762900289256319,0.664696452774257,0.141909700060849
"beta",1.15,405.201496603338,0.956294416837072,0.778422519441171,0.682741123246258,0.144711032257207
"beta",1.17,405.172488623934,0.865041846112734,0.793864913524651,0.701057556736507,0.147175450940157
"beta",1.19,405.141023053068,0.89912554955236,0.809194874759846,0.719721038208038,0.14921055152503
"beta",1.21,405.1120649108,0.910201901244773,0.824637237684865,0.737925891102263,0.151688456620634
"kappa",0.87,405.201485205144,0.942491874702941,0.938390306549572,0.542951235218536,0.119610982861199
"kappa",0.85,405.204770561915,0.953102361131023,0.854203477689294,0.548851091494282,0.120080749556313
"kappa",0.83,405.214474783977,0.951076378748921,0.944603810389702,0.54462073672288,0.119324754527376
"kappa",0.81,405.224413087102,0.949350675690711,1.0099474357312,0.539250626536623,0.1196991987635
"kappa",0.79,405.232090457136,0.949736577134976,1.10882572482391,0.536339150220661,0.119330877780435
"kappa",0.77,405.23978786204,0.952277014274012,1.20177076100865,0.534134943503978,0.120098670498685
"kappa",0.75,405.24637201437,0.956346543220899,1.24761077750223,0.533016867911399,0.120852100154025
"kappa",0.73,405.252582324216,0.958632473678631,1.35421806566493,0.530701681574373,0.121172036027618
"kappa",0.71,405.288523414818,0.964404930429632,1.43005079731092,0.530392504284224,0.12209842686916
"kappa",0.69,405.291267963273,0.970610255959664,1.57003174941745,0.53071528847496,0.122674678024476
"kappa",0.67,405.298338556448,0.977669303470277,1.63369526268848,0.530823108744149,0.123778940754405
"kappa",0.65,405.305608489171,0.981320014370435,1.80006348689479,0.527945876454406,0.12468431760018
"kappa",0.63,405.294174834327,0.981391895698882,1.64037012742958,0.523571047643528,0.123795565941837
"kappa",0.61,405.28814283761,0.995884504379197,1.70783575496467,0.527872625841057,0.125844315971099
"kappa",0.59,405.304032550292,1.03321121423595,0.286489175875509,0.548268414928853,0.130284943652273
"kappa",0.57,405.344009846935,1.16455360152884,0.0092141194458068,0.63283664552245,0.146717098896386
"kappa",0.87,405.201485205144,0.942491874702941,0.938390306549572,0.542951235218536,0.119610982861199
"kappa",0.89,405.199269097741,0.941800073213835,0.895259591492462,0.544428258373532,0.120867573795765
"kappa",0.91,405.181736741147,0.940840278102652,0.937345312342241,0.544858326180692,0.122624838471861
"kappa",0.93,405.178188343685,0.92517583263403,1.00681438586847,0.539845586205562,0.11603376262082
"kappa",0.95,405.17454588737,0.911749815410764,1.08846002449595,0.532451562232149,0.114064465964942
"kappa",0.97,405.162652377238,0.912056815780024,1.13526287658466,0.534608221910556,0.114672030907245
"kappa",0.99,405.157526043404,0.91081160273081,1.24005086304284,0.535859177242381,0.114572433616125
"kappa",1.01,405.112573954751,0.909816580952448,1.34000488314644,0.537429766928597,0.114542546269862
"kappa",1.03,405.151424093811,0.863810389720903,0.101110325658101,0.503441124844529,0.109098930075464
"kappa",1.05,405.119799825095,0.864440534398332,0.160122568766089,0.505178358350018,0.110077081659052
"kappa",1.07,405.117418756632,0.850013111693601,0.0520634054762996,0.497457614922576,0.106573768537571
"kappa",1.09,405.113884236369,0.8508099884415,0.112262735627525,0.498745946719103,0.108064038311639
"kappa",1.11,405.105929716167,0.83912757064096,0.102507680492614,0.491863876710594,0.10594644577266
"kappa",1.13,405.116659381822,0.811495937377878,0.58147733424968,0.471692407897262,0.102645266692895
"kappa",1.15,405.118472612106,0.802754255501327,0.608412408873847,0.467214577717817,0.100729599948028
"kappa",1.17,405.153830231168,0.803443637129141,0.625595304972561,0.468810884993903,0.101060944807256
"gamma",0.53,405.143477865531,0.909962605056186,0.890548793368783,0.546720534120367,0.106529948973929
"gamma",0.51,405.169557603338,0.901424651996475,0.901939581389212,0.58064017272646,0.121655019481791
"gamma",0.49,405.249863975864,0.895631425346525,0.758925425430206,0.604083869136782,0.11318389992817
"gamma",0.47,405.240052968608,0.881870407212801,0.707582208254459,0.752112896486464,0.111359979604736
"gamma",0.45,405.222199572473,0.85206807349288,0.720843936646526,0.754973514884424,0.108462763369742
"gamma",0.43,405.209020242299,0.825696754983662,0.718011170890901,0.725441926926852,0.105147963004584
"gamma",0.41,405.185091187173,0.786150051376905,0.769750574913708,0.586652456104751,0.0998518526043594
"gamma",0.39,405.191343528839,0.742193601964515,0.859710166967284,0.601606520959881,0.0940002423206769
"gamma",0.37,405.197187887839,0.698297756261457,0.985532454318639,0.710045865092553,0.0881582930665604
"gamma",0.35,405.153712973303,0.676865432958929,0.947108494232392,0.827027013415272,0.0850859209427534
"gamma",0.33,405.119936282298,0.643269771088391,1.03312293548477,0.822883087090247,0.0823553776194532
"gamma",0.31,405.047314716231,0.623073944737909,0.989537123045309,0.958333550852202,0.0802846610201192
"gamma",0.29,404.992651374942,0.599740194508843,0.964094947013757,1.13348147791763,0.0769091088274156
"gamma",0.27,404.885036085914,0.589913915632355,0.833427452995277,1.25094258722273,0.0757215479365391
"gamma",0.25,404.758418872264,0.580868680044544,0.72478905921076,1.34109157623532,0.0747914021269855
"gamma",0.23,404.625969028553,0.560410887339138,0.693287679785773,1.47620548186069,0.0728370041092189
"gamma",0.53,405.143477865531,0.909962605056186,0.890548793368783,0.546720534120367,0.106529948973929
"gamma",0.55,405.143914808834,0.927427416192693,0.992471719299455,0.392690775994796,0.115769267956999
"gamma",0.57,405.102339648727,0.945379965295406,1.03158524277641,0.443919529471683,0.116503395997112
"gamma",0.59,405.066943657221,0.967340388113497,1.06161903089319,0.569329204597937,0.119595603573269
"gamma",0.61,405.003135793112,0.983607039122413,1.11908818092988,0.577395426640947,0.12072715090139
"gamma",0.63,404.936773146724,1.00280515794332,1.16186860262855,0.573390347549901,0.122541195662026
"gamma",0.65,405.010413754497,1.04889622240892,1.020686242669,0.733679606843762,0.128623907699696
"gamma",0.67,404.921481046752,1.06626970783617,1.06751166266885,0.779509840690128,0.130158273473376
"gamma",0.69,404.867313207963,1.08392038031787,1.12761455381481,0.807247330346895,0.133259856794649
"gamma",0.71,404.786414661062,1.10161850514479,1.16752430786038,0.792474013987476,0.133537702238843
"gamma",0.73,404.730529837962,1.12906956569833,1.17176931913902,0.990746982985764,0.139094304864761
"gamma",0.75,404.65694264624,1.1502004516001,1.19103051191509,1.01511890183285,0.140655276170059
"gamma",0.77,404.578565479788,1.16911666944166,1.21126719482807,1.02906670061312,0.140009424691001
